text,sentiment
"Spent the entire morning in a meeting w/ a vendor, and my boss was not happy w/ them. Lots of fun.  I had other plans for my morning",neutral
 Oh! Good idea about putting them on ice cream,positive
says good (or should i say bad?) afternoon!  http://plurk.com/p/wxpdj,neutral
 haha better drunken tweeting you mean?,positive
had an awsome salad! I recommend getting the Spicey buffalo chicken salad!,positive
 fine! Going to do my big walk today 20 or so miles,positive
 Thank a yoou  how are you? #TwitterTakeover,positive
PRD take a long time to review!,neutral
 ya mine too but for very different reason,neutral
"Today Dan bought me Bio Dome AND the Reality Bites Soundtrack! Needless to say he gets MAYJAH points!  Also, my tummy is not happy. Boo.",negative
 oo noo thats not good,negative
misses her phone... having no service sucks,negative
so i have like no more friends it's kinda sad,negative
i have perused the #fieldnotes website and it is good.  too bad i must return to work,neutral
 ....welcome to public transport  X,neutral
"Also I popped the phone open and got all that goddamn dust out, but I wore out a clip on the camera panel so I had to glue it shut",negative
"12:46AM. HAppy birthday little sister of mine. Also, good night Priscilla",positive
 aaawww  no worries fresh start to work on growing it out again,positive
" oh, /me still hasn't got around to starting it",neutral
is sooo tired and too busy to tweet  im glad the weekend is here... yay 4 day-weekend,positive
  what's going on ?,neutral
Just watched &quot;Marley &amp; Me.&quot; Cute movie. Going to watch &quot;Twilight&quot; soon!  Love it!,positive
 not sure... there are fanciful expensive ones - but some basic ones are not expensive... Try the 24hr 'M' shopping place,neutral
hello thereeeeeee,neutral
 oh he is so cute... is he in uniteddogs.com? Poppy is there,positive
has just joined the twitter community,neutral
"i'm actually starting to quite like lily allen and her music, to be honest.",positive
I feel useless I don't know what to do right now. I'm so bored,negative
I'm sooo HAPPY Demi's back on twitter!,positive
kate is leaving me all by my lonesome,negative
I was rooting for Betty.,neutral
 That would be most welcome,positive
Why do weddings on TV make me cry? Is it just my inner desire to be eternally happy and start the rest of my life??,positive
Is hungry with a sub,neutral
 i see you there,neutral
I can't comment directly to someone...... and I'm here all alone,neutral
" aw, that's cute",positive
"Just got back in, and I'm absolutely exhausted, have to be up in 5 hours for work",negative
 I saw them a few on this tour a few months ago in Boston. So good! Glad you finally got to see them,positive
"after 4 years of trying, my cat today figured out how to open the under-the-sink cupboard.  time for a target run to buy safety locks",neutral
Heading to the U of Utah hospital. Have a great day everyone,positive
" omggg, how were the &quot;crazy cobras&quot; i wantewd to see them when they were in London",neutral
Today seems like it should be a good day! Even though my fuel pump is going out on my car  *~xoxo~*,positive
It's Raining!,neutral
is missing someone.. haayy..  http://plurk.com/p/x2avn,negative
waiting for my mom to get home,neutral
so most kids love my dark hair some say that I dye it too much and they never know what color its going to be  yea me hahahahaha,positive
damm i feel like the song of dead and gone by Travis Garland,negative
UGH... I am soooo drag assing today  but on a brighter note I got my G1 update &amp; it is the biznesssss!,neutral
 sounds like you've had a nice weekend lady!,positive
 See you on may 16!!,neutral
 I want to know when the auditions are Mander! Text or...reply please!,neutral
 I'll stop by for a bit when I'm off.  But have to rush to rehearsal - no quiet for me tonight.,neutral
"Whoa, I didn't mean to sleep for more than an hour",neutral
 Is the Bee to Busy to talk to his buddy on Yahoo?,neutral
I need followers!!!,neutral
Im on my way to brookings,neutral
"there are many jobs I aspire to, supervisor is not one of them  talk about too much stress for too little pay",negative
is watching the canucks,neutral
 Thats ok...ur a good person + My Idol soo good people deserve sum good comments..hows the weather ova der --London is cold,positive
In children's hospital ER hoping Meredith does NOT have a broken elbow/arm,positive
gprof problem on Mac  why ??,neutral
 Nice to see you tweeting!  It's Sunday 10th May and we're celebrating Mother's Day here today. So be nice to yer Mom,positive
 Yay! You finally get to have a trip away from home again! How exciting! You 2 going to shop a bit ?,positive
"done with the fkn exam! n just bought the mothers day gift, finally... tada! the new prada fragrance  going to meet up mum n fam now : ...",neutral
just got home from a partyyyy. had a good time. can't wait for my birthday in 7 days!,positive
Goodnight Beautiful world  sweet dreams. olive juice!,positive
_Gamefan Thanks  I love &quot;Misery Business&quot;; Paramore is such a great band!,positive
Yay for St Louis traffic,neutral
 I have to pee.,neutral
  hhahaa!    its well strange just woke up to an empty house ahah  lolllllyyyyyyyy&lt;3 love that dog,neutral
 awesome! I am at 1505 west lake street: right across from the dunn brothers on lake,positive
 i got followed by one that says she doesn't talk to &quot;god people&quot;-i wonder if she talks to &quot;goddess people?&quot;,neutral
 http://twitpic.com/66r0u - uh wait...i thought this was the 29th...tonight,neutral
"Will this rain ever go away, my puppy is getting cabin fever and she doesn't like going out in the rain",negative
"Great meeting...lunch on the patio in the sunshine...nothing more perfect  busy day...time for bed, ahhhhh",positive
&quot;We did it we did it oh yea yea yea no eating here tonite woo eating here tonight no no no eating here tonite you on a diet&quot; finding nemo,neutral
" hey adt, guess what. my princelple's number plate is adtï¿½000 well its not 000, i just dunno the numbers.",neutral
Get into me not going. lol at least I didnt get my hopes up,negative
 u drink mor than all th #g1freaks put togetha!,neutral
FC is finally up again. it's about time. i hate that this keeps happening,negative
" Lmao dimples naww thats cute , ok ill try to remember first of winter is dimple day",positive
does anybody want to throw a baseball around with me?,neutral
 HAHAH you know you loved the hannah montana movie  it was aweesome,positive
 And U are doing Brilliantly sweetie!!!   Blessings and Joy to you!!!,positive
upgraded,neutral
 I'm glad you liked it   Want more?,positive
Done with my drew and jayk handmade gifts now watching old menudo vids,neutral
twitter is acting weird,negative
 In two months i will have something of the kinf of prom  and i'm really excited! and you haven't any contact to her?,positive
 your knowledge of X-men is starting to scare me,negative
Photo: novusnovendo: EYECANDY + LIVE = like a ****! only he keeps his clothes on  BUT he can take them... http://tumblr.com/x2k1wga72,neutral
starting tm alex and i are doing a whole week of no going out and spending money that we dont have.,neutral
"so bored  Gonna go to the Carnival and get an all day pass tomorrow. Excited for that, but very bored today.",negative
home from taking Nick home - a little lighter in pocket after being flashed by a speed camera,neutral
says she wants to be w/ marykay @ sendai right now,neutral
Awesome beer pong party at my house in the yard tonight  going in when the sun is rising is officially B.A.,positive
 i love electro house,positive
possessed beyond certainty that she has made the rite decision,positive
 gah! no money..... at least not for bakugan,negative
I'm drawning in emails,neutral
 physics  the most boring class ever!,negative
 lol yep  tell rhonda i said happy mother's day!,positive
bbq party,neutral
"is upset, I left my phone at home again",negative
 Sorry to hear about the laptop troubles. Hope you can get them fixed and the lappy back to norm.,neutral
": Omg! I never got your message so I didn't notice until I was looking back a ways! Sorry, that was a good idea though...lol",neutral
 It tells me I'm not a member of the private beta  and I'm not going to just start pretending to assassinate people,neutral
*yaaaawwwwnnnn* thx to bank holiday... let's see what today has prepared for us...,positive
Apparently it's 21 degrees in Kilkenny now! And some comedy would be a great remedy to my boredom! Why the hell did I leave Kilkenny!?,negative
" haha im jewish, i love that one",positive
" Uhhh.. not yet, maybe my DM inbox is just slow. I'll let you know when it shows",negative
_Dude Very nice. Good night,positive
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,positive
"Right! Into action! Grab a shower, grab my camera and, I think, a walk in the sunshine along the canal. Later, good tweeple",positive
http://snipurl.com/hbp3g  Canalway Cavalcade over in 'little venice' near Warwick Avenue - on today too,neutral
 /drool. I still need to 100% the first one,neutral
Just got home. :3 Was pleased with Star Trek.,positive
is not sleeping because he has paperwork to do.,neutral
 I'm having the same problem,negative
  Hope you have a better weekend then..,positive
 congrats ya ran,positive
 We don't have either of those here.,neutral
_aguirre  not going anywhere &amp; when my book finally gets hre It will be cool 2 know wht Butch looks lk..LOL It was going in mail tdy,positive
 Press 'Ctrl' on bottom right. The underscore for E71 is there.  KY,neutral
" LOL she is okay, its just he songs are so catchy they get stuck in my head",positive
" Having a Leatherman, is a MUST, really for anybody! You never know, when you might need one &amp; it gets the job done.",positive
wishes  would admit she has a new lovah,neutral
 home now and added a few more Grice's to my list,neutral
is watching wolverine at last.,neutral
Crawling into bed super happy that the Penguins won tonight,positive
saying goodbye to my parents at the airport.  it was great having them around.,positive
Come See Me Live On Stickam  http://www.stickam.com/valentine_rock,neutral
"uploading photos.   (on: Facebook, &amp; Friendster... Myspace later.)",neutral
" MISS YOU, TOO!",negative
"Sasha's helped too, of course",neutral
"A lovely weekend away at Kits Coty, now relaxed and well rested and ready for the week ahead.  Back on NNC in two weeks",positive
"Thinking about Con Law, fighting a headache, &amp; Paying bills...",neutral
So slpy 2day  zzzz,neutral
FINALLY DONE WITH MY PROJECT !  now its 3:12 am  haha goodnights ! &lt;3,positive
"  I've had that before...sometimes, they turn into other things; felt is very forgiving. Remould? Cut up and re-form?",positive
 Indeed I did get your song however am unable to listen.,neutral
"Hey, thanks for the follow, wow this is exciting a new tweet.",positive
"Cool music collection, can be used for non-intrusive background music - music from keygens!   http://www.keygenmusic.net",positive
is needing to make a new video,neutral
 how about a new article on finding your YouTube channel stats in your Google Analytics account? Can't find it,neutral
" let me guess ... ran a few miles?  Respect dude, I can't do it.  Maybe you should train me",positive
 http://twitpic.com/67uc7 - can you lend me one? I have a cold too,negative
Just finished The Minish Cap. It's a great game! I'll miss Ezlo and Link.,positive
GIVE A HATER A Hug ? Why would you do that? I don't like mwean people,negative
Traffic is horrific on 695..I jus wanna gt my dog,negative
"http://twitpic.com/4jkea -  now has 10,000 followers! Congrats!",positive
"mmm, just had the best delicious chocolate pancakes for tea break. oh thank God for HERHSEY'S Chocolate Syrup!",positive
is back from a weekend get away,neutral
"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",negative
Ugh!! Why isn't inFamous on xbox360!!!?? **** lame.. Its only on PS3..,negative
should have started working on this lecture MUCH earlier  using tag clouds from google news to explain basics of content analysis...,neutral
 nope,neutral
 It's because we're right,neutral
":o Wow only just found out new xbox is called xbox720 , how did i not no im a geek ...",neutral
_lavish i told diamond to follow you. and why u aitn share the starburst,neutral
well - that blows.  Sorry to cut it short. It wont work for me. I didnt get to say bye..so goodnight guys - thx for watching!  Love u guys,neutral
no one calls me anymore,negative
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can't wait to have a dragon pet,positive
 The portuguese national library could use it also. Right now they seem to be in a ca. 1995 web. Example http://u.nu/7y68,neutral
_0robertpatt Why do they do that?!,neutral
listening to a new Stolen Sheep record,neutral
"They had a site, then a blog, now they have the worst zoning/concept of the year - Heaven.fr, tell meh it's a fake",negative
Off to church now...,neutral
 May the fourth be with you,neutral
 that is sickening... Just shoot at will? Smh... Prayers for his family...,negative
 that's great!,positive
 Kat Stewart did a great job with a great character not that I watched #underbelly in Victoria,positive
 YEAY!. haha. thank you so much jiah,positive
" Hey babe, nothing much tryin to see what imma do at work today lol, look like the load isnt so bad.",positive
Haha. It's pretty good  they're making something with chicken  yum!,positive
good morning people !! in good old germany is it soooo cold,positive
 i agree,positive
installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me,negative
"Good am all..: hanging out with ma dad 2day, looking for a job still..",positive
"It's called communifuckingcation.....learn it, know it, do it. These stupid **** people!",negative
 Ciara was great at SNL..Kim...you were mentioned on SNL tonight..Justin T was really good also,positive
food...food...FOOD!,neutral
 Thanks  Will Do,positive
Can not afford the DR this year. I just can't pull it off this time.,neutral
" You can get into Canada, but I can't?  WTF!!!   (Seriously, I'm not allowed to cross the border!)",negative
will be doing all the chores just for her mama,neutral
going to bed its late and I have headache,negative
Awwwwwww holly,neutral
enjoying and exploring my n96 phone.. grr.. it's awesome.. but i wanted the samsung omnia..,positive
" my pleasure, its a great recipe",positive
 yeah i did  i remember it na....... i did watch it before ),neutral
 I've thought about it several times . got a few good friends there!,positive
"is predicting a heavyweight battle between Lakers and Cleveland on the Finals! Well, hopefully! *crosses his fingers*",positive
_watkins Oh my gosh ian i always miss you when your on,negative
 wow.???? ??????,neutral
 I will try. But I don't care what my mum says,neutral
 turn on your closed caption ... Then you can read and watch animal planet at the same tiime.,neutral
 thanks!! Yes!! A lot!,positive
" You too, Rus!",neutral
" Hello!! sounds very good, you can count on me, I follow you!!!",positive
 testing.... Hey! I gotta add you as someone to follow,neutral
Twas a good show. I even liked Ciara's last song.   Time for me to go to bed. G'night!,positive
" Yes, people skills and social manners are quite nice.  If you a few billion, guess you need MORE love to gently guide you.",positive
